Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
406,Ira Mahajan,Female,4/17/2001,22,7.13,Shivaji College,University Of Delhi,B.Sc. (Hons.),Physics,72.7,2023,Lord Jesus Public School,CBSE,Science (Non-Medical),93.4,2020,K.R. Mangalam World School,CBSE,94.2,2018,No,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Genpact,Trainee - Finance and Accounts,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
407,Uday Chaudhary,Male,8/24/2002,23,7.3,Arunachal University Of Studies,Rajasthan University,B.E.,Physical Science With Chemistry,89.2,2022,K.R Mangalam World School,CBSE,Science (Non-Medical),73.8,2019,Lord Jesus Public School,ICSE,91.2,2017,Yes,2 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Big Data Analytics,Marketing,ClarityX Analytics,Management Trainee Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
408,Ashwin Rastogi,Male,9/28/1999,23,6.9,Lovely Professional University,Guru Gobind Singh Indraprastha University,B.Tech,Electrical And Electronics Engineering,80.5,2023,Bal Bharati Public School,CBSE,Science (Non-Medical),64,2019,St. Pauls School,CBSE,81.33,2017,No,2 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Marketing,Operations,AU Small Finance Bank,Management Trainee,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
409,Geeta Talwar,Female,8/18/1998,22,7.55,Iis (Deemed To Be University),Iis University,B.Com. (Hons.),Marketing And Finance,71.96,2022,Maheshwari Public School,CBSE,Commerce,85.6,2019,Pathania Public School,CBSE,93.1,2017,Yes,9 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Finance,Asianet Satellite Communications Limited,Finance Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
410,Ananya Nair,Female,4/17/2001,23,7.57,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,87.4,2022,Patrachar Vidyalaya,CBSE,Science (Non-Medical),63,2019,Presidium School,CBSE,76,2017,Yes,2 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,International Business,Compunnel India,E-commerce Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
411,Riya Bajwa,Female,9/23/2002,21,7.6,Lady Irwin College,University Of Delhi,B.Sc. (Hons.),General,83.3,2023,St Mary'S Convent School,CBSE,Science (Non-Medical),93.3,2020,Aadharshila Vidyapeeth,CBSE,93.5,2018,No,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Information Technology,SMC Global Securities Limited,Corporate Sales Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
412,Abhay Mishra,Male,5/14/2002,23,6.69,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.C.A.,Computer Applications,73.1,2021,Lucknow Public Schools And Colleges,CBSE,Science (Non-Medical),79.33,2018,Vandana International School,CBSE,95,2018,No,12 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Human Resources,Pink & Purple Events Ltd.,Summer Intern- Consulting,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
413,Yash Rana,Male,9/30/2000,24,7.75,Scms School Of Engineering & Technology,Visveswaraya Technological University,B.Com. (Hons.),Mechanical Engineering,67.54,2020,G D Goenka Public School,CBSE,Commerce,90.4,2017,Dr Virendra Swarup 21st Century School,CBSE,79.8,2015,Yes,10 months,Yes,#REF!,HDFC Bank,11 months,Information Technology,Advisory,International Trainer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Big Data Analytics,Finance,Compunnel Inc,Summer Intern- IT,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
414,Sanya Goswami,Female,10/22/2001,24,6.66,Kalindi College,Chaudhary Charan Singh University,B.C.A.,Database Management Systems,68,2022,Scholar Fields Public School,CBSE,Science (Medical),78.8,2018,Gagan Bharti Public School,CBSE,81.7,2016,Yes,1 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Grant Thornton Bharat LLP,Wealth Management Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Problem Solving
2. Strategic Thinking
3. Client Management"
415,Rajendra Mathur,Male,2/28/1998,26,7.08,Kalinga Institute Of Industrial Technology,Indira Gandhi National Open University,B.Tech,Computer Science Engineering,73.7,2020,St. Mary'S Inter College,CBSE,Science (Non-Medical),77.2,2016,"Apeejay School, Panchsheel Park, Sheikh Sarai",CBSE,87.4,2014,No,1 months,Yes,15 months,Tata Consultancy Services,15 months,Information Technology,Operations,Assistant Systems Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,International Business,Marketing,Skyria,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
416,Sanya Bajwa,Female,9/30/2000,23,7.6,Jai Hind College,University Of Delhi,B.Voc,Finance And Accounting,84.32,2022,Kishinchand Chellaram College,CBSE,Humanities,89.6,2019,Delhi Public School,CBSE,95,2016,Yes,4 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Human Resources,Loom Solar Pvt. Ltd.,HR Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
417,Jaya Hooda,Female,5/23/2002,24,7.56,Shivaji College,University Of Delhi,B.Com. (Hons.),General,76.86,2021,Delhi Public School,CBSE,Commerce,89.6,2018,Ryan International School,CBSE,79.8,2016,Yes,11 months,Yes,#REF!,Cvent India Pvt. Ltd.,6 months,Information Technology,Human Resource,Process Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Data Analyst,Finance,Marketing,Policicue,Human Resource Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
418,Kunal Mittal,Male,11/17/2001,24,6.13,New Delhi Institute Of Management,Babu Banarasi Das University,B.B.A.,Management,86.5,2021,Delhi Public School,CBSE,Science (Non-Medical),66.2,2018,Seedling Modern Public School,CBSE,81.7,2016,No,8 months,Yes,6 months,MANKIND PHARMACEUTICAL LTD.,6 months,Pharmaceutical,Research and Development,Sales Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Assamese",Brand Manager,International Business,Marketing,Icici Bank,Summer Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
419,Sameera Bedi,Female,9/29/2001,22,7.1,National Post Graduate College,Lucknow University,B.Sc.,Mathematics,74.01,2023,South Point High School,ISC,Science (Non-Medical),92.5,2020,Model School,ICSE,90.2,2018,No,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Marketing Analytics Manager,Big Data Analytics,Marketing,EY GDS,Summer Intern - Consulting,"1. Market Research
2. Industry Analysis
3. Research Methodology","1. Statistical Tools
2. Research Software
3. Data Analysis","1. Research Methods
2. Critical Thinking
3. Academic Writing"
420,Rohan Bedi,Male,4/30/1999,23,7.32,Tecnia Institute Of Advanced Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,86.7,2021,Kendriya Vidyalaya Masjid Moth,Madhya Pradesh Board of Secondary Education,Commerce,70.4,2018,St. Anthony Senior Secondary School,CBSE,87.4,2016,Yes,3 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Godfrey Phillips India Ltd.,Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
421,Arvind Mittal,Male,1/21/2000,28,6.86,Dyal Singh Evening College,University Of Delhi,B.Tech,Commerce,73.85,2017,"Ram Bhavan Inter College, Satahawa",CBSE,Science (Non-Medical),80.5,2013,St.Francis Convent School,ICSE,86.33,2011,Yes,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Odia",Digital Marketing Specialist,Marketing,Human Resources,Dabur,Strategic Partnership & Sales Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
422,Rajni Ahluwalia,Female,7/25/2000,24,7.08,Jagannath International Management School,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,71.9,2021,St. Joseph'S Academy,CBSE,Commerce,83.5,2018,"AG DAV Centenary Public School, Model Town",CBSE,87.4,2016,Yes,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Acclime,Summer Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
423,Kiran Malhotra,Male,3/28/2002,23,6.93,Pannalal Girdharlal Dayanand Anglo Vedic College (Evening),University Of Delhi,B.Com. (Hons.),Commerce,74.76,2021,Bhatnagar International School,CBSE,Commerce,92.4,2018,C.R.P.F Public School,CBSE,92.67,2016,Yes,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Marketing,Maruti Suzuki India Limited ( MSIL),Quality Management Intern,"1. Market Research
2. Industry Analysis
3. Competitive Intelligence","1. Research Tools
2. Statistical Software
3. Data Analysis","1. Research Methods
2. Analytical Thinking
3. Report Writing"
424,Smriti Menon,Female,7/25/2002,23,7.98,Ram Lal Anand College,University Of Delhi,B.Sc. (Hons.),Computer Science Engineering,73,2022,South Point High School,CBSE,Science (Non-Medical),88.6,2019,South Point School,CBSE,95,2017,Yes,6 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,International Business,Finance,Publicis Groupe - Indigo Consulting,Summer Intern- Consulting,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
425,Chandan Kataria,Male,8/28/1999,25,6.81,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,76.2,2021,Bal Bharati Public School,CBSE,Science (Non-Medical),91.6,2017,"Army Public School, Dhaula Kuan",CBSE,92.67,2015,No,0 months,Yes,#REF!,TopHire.co,20 months,Information Technology,Operations,Incident and Escalation Management Specialist,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Human Resources,Tech Mahindra Ltd.,Customer Experience Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
426,Vikram Reddy,Male,4/27/2001,22,7.13,Ideal Institute Of Management And Technology,Bharati Vidyapeeth (Deemed To Be University),B.B.A.,Marketing,77.75,2021,Viswasai Junior College,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,66.8,2018,National Victor Public School,CBSE,65.5,2016,Yes,11 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,N.A.,Summer Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
427,Vishal Chopra,Male,1/23/2001,22,6.44,Dyal Singh College,University Of Delhi,B.Com.,Commerce,77.81,2023,St Patricks Junior College,CBSE,Commerce,85.6,2020,St. Gregorios Senior Secondary School,CBSE,87.4,2018,No,1 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Research Associate,Finance,Marketing,Equitos Management Consulting Private Limited,Business development intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
428,Aman Patel,Male,4/27/2001,23,7.19,Sri Sri University,Amity University,B.Com.,Mechanical Engineering,83.58,2022,Smt R K D Fomra V Vidyalaya,Gujarat Secondary and Higher Secondary Education Board,Commerce,83.6,2018,Shrimanta Shankar Academy,Gujarat State Education Board,85.28,2016,Yes,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Oxane Partners India Pvt. Ltd.,Summer Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
429,Aman Kulkarni,Male,10/16/2001,26,6.64,Babu Banarasi Das University,University Of Delhi,B.Tech,Commerce,88.7,2021,Lucknow Public School,CBSE,Science (Non-Medical),70.6,2016,Vandana International School,CBSE,81.7,2014,No,2 months,Yes,#REF!,Infosys Limited,13 months,FMCG,Consultancy,Sales Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Malayalam",Brand Manager,International Business,Marketing,Rancho Labs,Team Lead Sales,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
430,Rajat Talwar,Male,5/31/2001,24,8,Shaheed Bhagat Singh College (Evening),University Of Delhi,B.Sc. (Hotel And Hospitality Administration),Computer Applications,64.05,2022,Lucknow Public Schools And Colleges,CBSE,Commerce,86,2018,Kendriya Vidyalaya (SAC),CBSE,77.9,2016,No,1 months,Yes,#REF!,G.hotel,23 months,Food Retail,Finance,International Trainer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Operations,Vishwakarma Group,Area Sales Manager (Intern),"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
431,Geeta Nair,Female,8/20/2001,21,6.6,Institute Of Home Economics,University Of Delhi,B.Sc. (Hons.),General,78.57,2022,K.L. Arya Dav Public School,CBSE,Commerce,93.3,2019,Innocent Children Academy,CBSE,74.1,2017,Yes,11 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Big Data Analytics,Marketing,CEI Design Consultancy,Data Executive,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
432,Siddharth Naidu,Male,9/14/2000,23,6.44,Amity Institute Of Food Technology,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,78.83,2022,Modern Senior Secondary School,CBSE,Science (Non-Medical),78.16,2019,PRESIDENCY THE INTERNATIONAL SCHOOL,CBSE,95,2017,Yes,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Big Data Analytics,Marketing,Magicpin,Credit Vertical,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
433,Ayesha Chhabra,Female,8/14/1998,25,7.51,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.B.A.,General,79.1,2020,Modern Vidya Niketan,CBSE,Science (Non-Medical),78,2017,Ursuline Convent Senior Secondary School,CBSE,95,2015,Yes,12 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,International Business,Marketing,Rancho Labs,Advisory Service Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
434,Rajendra Kulkarni,Male,12/14/1996,24,7.88,University Of Petroleum And Energy Studies,Chirst Deemed To Be University,B.B.A.,Finance,77.71,2022,Delhi Public School,CBSE,Commerce,89,2018,L.P. Savani International School,CBSE,79.8,2016,Yes,1 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Marketing,SPER Market Research,Business development intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
435,Aditi Bajwa,Female,10/28/1999,25,7.06,Pranveer Singh Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,88.7,2020,Kendriya Vidyalaya Dlw,CBSE,Science (Medical),86.4,2016,L.S.D.B.R.A.S Vidya Mandir,CBSE,83.6,2014,No,1 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,Marketing,Finance,SNVA Ventures Pvt. Ltd.,Summer Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
436,Kajal Singh,Female,7/20/2002,23,6.7,Modi Institute Of Management,University Of Kota,B.Sc.,Electrical Engineering,74.01,2022,Sumit Bal Sr. Sec. School,ISC,Commerce,88.2,2019,The Gladiolus School,ICSE,95,2017,Yes,0 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Enrich Agro Food Pvt. Ltd. (Coca Cola FBO),Sales and Marketing Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
437,Jayant Kohli,Male,4/22/2001,24,7.36,Vellore Institute Of Technology,Rajasthan University,B.Com. (Hons.),General,58.72,2020,Uttarpara Amarendra Vidyapith,CBSE,Commerce,93,2017,Sumermal Jain Public School,CBSE,91.2,2015,Yes,4 months,Yes,#REF!,Taj SATS Air Catering Ltd.,10 months,Education and training,Finance,Account Executive,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, French",Management Consultant,Finance,Marketing,Terre Armee India Pvt. Ltd.,Finance Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
438,Riya Mathur,Female,7/16/2000,24,7.34,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.Com. (Hons.),General,78.82,2021,Bharti Public School,CBSE,Commerce,89.83,2018,Meerut Public Girls School,CBSE,91.2,2016,Yes,2 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Finance,Human Resources,Ernst and Young LLP,Management trainee - Business Development,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
439,Ravi Bhatnagar,Male,2/24/1999,26,6.38,Jaypee Institute Of Information Technology,University Of Delhi,B.Tech,Finance,88.7,2020,St. Mary'S Inter College,CBSE,Science (Non-Medical),62.2,2016,St.Margaret Senior Secondary School,CBSE,91.2,2014,No,0 months,Yes,#REF!,Tata Consultancy Services,13 months,Information Technology,Operations,Senior Construction Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Malayalam",Marketing Analytics Manager,Marketing,Operations,Skyria,Finance Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
440,Rakesh Mishra,Male,2/18/2000,22,7.83,Hansraj College,University Of Delhi,B.Com. (Hons.),Commerce,82.9,2023,O.P. Jindal Modern School,CBSE,Commerce,89.67,2020,Sachdeva Public School,CBSE,92.3,2018,No,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Management Consultant,Finance,Marketing,Genpact,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
441,Prakash Kalra,Male,3/25/2002,22,6.71,Shaheed Bhagat Singh College,Manipal University,B.Com. (Hons.),Accounting,73,2021,Darbari Lal D.A.V Model School,CBSE,Commerce,75.4,2018,Delhi Public School,CBSE,78.85,2016,Yes,7 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,Aditya Birla Finance Ltd,Business development Associate,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
442,Ankit Sandhu,Male,7/13/2001,23,7.23,Sri Aurobindo College,University Of Delhi,B.Com. (Hons.),Commerce,85.32,2022,Dyal Singh Public School,CBSE,Commerce,70.4,2019,Mahaveer Public School,CBSE,72.2,2017,No,6 months,Yes,#REF!,Deloitte & Touche Assurance and Enterprise Risk Services India Private Limited,14 months,Pharmaceutical,Finance,Marketing Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Marketing,Finance,JCB INDIA,Summer Trainee,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
443,Dhruv Aggarwal,Male,8/27/1995,29,6.53,Manipal Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Com.,Electronics Engineering,88,2016,J K S Inter College Of Commerce,CBSE,Commerce,62.4,2012,Yadavindra Public School,CBSE,81.7,2010,Yes,3 months,Yes,#REF!,Budge Budge Institute of Technology,8 months,Information Technology,Geotechnical Engineering,Senior Assistant Engineer,Varroc Polymers Pvt. Ltd. Narsapura Industrial Area,14 months,Information Technology,Marketing and sales,Business Development Manager,No Organisation,0 months,None,None,None,"English, Hindi, German",Research Associate,Marketing,Operations,JBCO POWERTECH PRIVATE LIMITED,Team Lead Sales,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
444,Tanya Guha,Female,11/25/2001,24,7.34,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.Sc. (Hons.),Food Technology,78.82,2022,Indira Ideal Sr. Sec. School,CBSE,Science (Medical),85.8,2018,Indira Ideal Sr. Sec. School,CBSE,87.4,2016,No,11 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,Finance,Jeena and Company,Business Development Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
