Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
319,Anushka Goswami,Female,11/25/2001,24,7.08,Chitkara University,Guru Gobind Singh Indraprastha University,B.B.A.,General,71.9,2021,Baptist Convent Senior Secondary School,CBSE,Commerce,87.6,2018,Central Academy,CBSE,87.4,2016
320,Hemant Mann,Male,2/15/1993,27,6.78,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Sc.,Life Science,71.7,2018,Ncl Jr College Pune,CBSE,Commerce,69.2,2015,Nehru World School,CBSE,81.7,2013
321,Ravi Deshpande,Male,8/25/1998,23,7.28,Shri Varshney College,Sri Sri University,B.B.A.,Management,75.62,2021,Viswasai Junior College,The Board of Secondary Education of Andhra Pradesh (BSEAP),Commerce,66,2018,National Victor Public School,CBSE,72.52,2016
322,Farah Tripathi,Female,7/21/2000,25,6.35,Banasthali Vidhyapeeth,Chhatrapati Shahu Ji Maharaj University,B.B.A.,Commerce,63.65,2021,Delhi Public School,ISC,Science (Non-Medical),88.2,2018,Delhi Public School Ghaziabad Vasundhara,ICSE,83.6,2016
323,Varun Pannu,Male,11/26/2002,22,7.57,Institute Of Management & Research,University Of Delhi,B.B.A.,General,82.9,2023,Ashadeep Vidhyalaya,CBSE,Commerce,93.6,2020,"Ahlcon International School, Mayur Vihar",Haryana Board,81.8,2018
324,Rajni Talwar,Female,8/31/1992,23,7.7,St. Xavier'S College,University Of Delhi,B.Com. (Hons.),General,80.7,2022,Rukmini Devi Public School,CBSE,Commerce,89.6,2019,Navy Children School,CBSE,95,2017
325,Simran Nair,Female,8/16/1999,27,7.53,Asutosh College,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.Com.,Civil Engineering,68.9,2019,Meerut Public Girls School,CBSE,Commerce,82.2,2014,"Kendriya Vidyalaya, No. 2",CBSE,85.5,2011
326,Sameera Deshpande,Female,9/14/1999,22,7.47,Shyama Prasad Mukherjee College For Women,University Of Delhi,B.A. (Hons.),Economics,76.51,2022,Titiksha Public School,CBSE,Science (Non-Medical),93.2,2019,R K C Vidya Vihar,CBSE,95,2017
327,Siddharth Kaur,Male,11/27/1998,23,7.45,Chitkara University,University Of Delhi,B.B.A.,General,75.27,2022,Holy Innocents Public School,CBSE,Commerce,81.17,2019,Hillwoods Academy,CBSE,91.2,2017
328,Kritika Chopra,Female,7/24/2000,23,7.55,Netaji Subhash University Of Technology,Chhatrapati Shahu Ji Maharaj University,B.B.A.,General,83.9,2022,Sant Gyaneshwar Model School,CBSE,Commerce,79.83,2019,National Victor Public School,CBSE,95.33,2017
329,Bharat Rana,Male,8/27/1995,27,7.66,Jaypee Institute Of Information Technology,Jaypee Institute Of Information Technology,B.Tech,Electronics And Communication Engineering,70,2019,Aklank Public School,CBSE,Science (Non-Medical),79.67,2014,Carmel Convent Senior Secondary School,CBSE,89.3,2011
330,Tanvi Sidhu,Female,6/24/1996,28,8.33,Sivanath Sastri College,Calcutta University,B.Com. (Hons.),General,67.56,2018,Universal Public School,CBSE,Commerce,79.6,2014,Lake Montfort School,CBSE,77.9,2011
331,Aarushi Bhandari,Female,7/23/2000,24,7.7,Symbiosis Centre For Management Studies,University Of Delhi,B.B.A.,General,60,2021,Delhi Public School,ISC,Commerce,91,2019,"Lotus Valley International School, Noida",ICSE,74.33,2017
332,Hemlata Kaur,Female,3/25/2002,26,6.98,Sri Guru Tegh Bahadur Khalsa College,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,81.7,2020,Jnan Chandra Ghosh Polytechnic,CBSE,Science (Non-Medical),69,2016,Kamala Girls' School,CBSE,92,2014
333,Kabir Oberoi,Male,1/23/2000,22,7.64,Acharya Narendra Dev College,University Of Delhi,B.B.A.,General,82.9,2022,Goodley Public School Shalimar Bagh,CBSE,Science (Non-Medical),92.6,2019,"Amravati Vidayalaya Sr. Sec. School, Amravati Enclave, Panchkula",CBSE,95,2017
334,Pradeep Reddy,Male,8/17/1998,24,7.51,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,79.1,2020,Kendriya Vidyalaya Masjid Moth,CBSE,Commerce,77.8,2017,Kendriya Vidyalaya Masjid Moth,CBSE,85.5,2015
335,Vishal Behera,Male,7/24/2000,21,7.09,S.S. Jain Subodh P.G. Autonomous College Jaipur,Rajasthan University,B.B.A.,General,77.75,2022,Maheshwari Public School Riico P-Ii,CBSE,Commerce,86,2019,Manav Rachna International School,CBSE,84,2017
336,Vijay Tiwari,Male,5/30/1999,24,6.67,Christ University,Chirst Deemed To Be University,B.B.A.,Finance,71.95,2021,Army Public School,CBSE,Commerce,72.4,2018,Springdales School,CBSE,66.5,2016
337,Samarth Bose,Male,4/18/2001,23,7.04,B. Barooah College,Visveswaraya Technological University,B.Sc. (Hons.),Physics,82.8,2022,Kendriya Vidyalaya,CBSE,Science (Non-Medical),78.8,2018,Christ Jyoti School,CBSE,87.4,2016
338,Farah Tripathi,Female,3/28/1996,24,7.77,Ram Lal Anand College,University Of Delhi,B.A. (Hons.),Economics,76.86,2022,Delhi Public School,CBSE,Arts/ Humanities,95.4,2018,Alwar Public School,CBSE,93.1,2016
339,Kiran Bose,Female,3/25/2002,22,7.83,Maharshi Dayanand University,University Of Delhi,B.Com. (Hons.),General,82.69,2023,Summer Fields School,CBSE,Commerce,92.6,2020,Pathania Public School,Haryana Board,93.16,2018
340,Rajat Venkatesh,Male,5/30/1999,24,7.73,University Institute Of Engineering,Chandigarh University,B.E.,Hotel Management,82.4,2022,Cambridge Court High School,CBSE,Science (Non-Medical),81.33,2018,Delhi Public School Varanasi,CBSE,95.8,2016
341,Shubham Venkatesh,Male,1/20/1999,23,6.93,Shaheed Bhagat Singh State Technical Campus,University Of Delhi,B.B.A.,General,74.76,2022,Dayanand Anglo Vedic,CBSE,Commerce,79.6,2019,D.C. Model International School,CBSE,71.67,2017
342,Tanvi Deshpande,Female,3/13/2002,23,6.93,Hierank Business School,Chaudhary Charan Singh University,B.B.A.,General,66,2022,Delhi International School,CBSE,Commerce,67,2019,Seth Anand Ram Jaipuria School,CBSE,87.43,2017
343,Farah Ahluwalia,Female,4/29/2000,22,7.81,Maharshi Dayanand University,Maharshi Dayanand University,B.Com. (Hons.),Human Resource Management,70.04,2022,Sunbeam School Varuna,CBSE,Commerce,93.08,2019,Pinewood School,CBSE,89.3,2017
344,Vidya Hanjra,Female,10/21/1999,23,8.02,Government Kamlaraja Girls Post-Graduate Autonomous College,Jiwaji University,B.Com.,General,63.25,2022,Carmel Convent Senior Secondary School,CBSE,Commerce,90.6,2019,ST.Peter's Senior Secondary School,CBSE,91.2,2017
345,Trisha Rawat,Female,4/29/2000,22,7.81,Maitreyi College For Women,University Of Delhi,B.Com. (Hons.),General,78.7,2022,Delhi Public School,CBSE,Commerce,92.6,2019,Delhi Public School,CBSE,87.4,2017
346,Nitin Joshi,Male,11/23/1999,22,7.13,Institute Of Hotel Management,Indira Gandhi National Open University,B.Sc.,Hospitality And Hotel Administeration,81.6,2021,Hans Raj Smarak Sr. Sec. School,Uttar Pradesh State Board of High School and Intermediate Education,Science (Non-Medical),81.16,2018,Hans Raj Smarak School,CBSE,87.4,2016
347,Sharad Lal,Male,11/26/2002,27,6.74,Institute Of Information Technology And Management,Indira Gandhi National Open University,B.B.A.,Electrical Engineering,67.9,2018,Air Force Bal Bharati School,CBSE,Commerce,81.2,2015,Springdales School,CBSE,72.2,2013
348,Anjali Mohanty,Female,3/30/2001,23,7.6,Shri Shikshayatan College,Calcutta University,B.Com. (Hons.),Accounting,82.13,2022,The Modern Academy,ISC,Commerce,85.33,2019,Lycee,ICSE,89.67,2017
349,Sachin Grewal,Male,3/27/2002,23,7.01,Trinity Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,84.3,2022,Mira Model School,CBSE,Commerce,66.4,2019,Rockfield Public School,CBSE,68.4,2017
350,Parth Kaur,Male,3/30/2001,22,8.33,Motilal Nehru College,University Of Delhi,B.B.A.,General,82.5,2022,St.Francis School,CBSE,Commerce,90,2019,Saraswathy Vidyanikethan Central School Engandiyur,CBSE,77.9,2017
351,Rakesh Dhillon,Male,3/31/2001,23,6.91,J.P Shah College,Gujarat Law Society (G.L.S) University,B.Com. (Hons.),Mechanical Engineering,79.1,2021,Convent Of Jesus And Mary,The Board of Secondary Education of Andhra Pradesh (BSEAP),Science (Non-Medical),69.8,2018,Lovely Public Senior Secondary School,CBSE,89.3,2016
352,Uday Mahajan,Male,1/23/2000,28,5.67,Abes Engineering College,Guru Gobind Singh Indraprastha University,B.Sc.,Physical Science With Computer Science,88,2017,Ncl Jr College Pune,CBSE,Humanities with Mathematics,66.2,2014,St. Shantal English Medium School,CBSE,70.3,2012
353,Sandeep Mishra,Male,2/28/2001,22,6.38,University Of Petroleum And Energy Studies,University Of Delhi,B.Tech,Commerce,80.6,2023,Ryan International School,CBSE,Science (Non-Medical),64,2019,Delhi Public School,CBSE,91.2,2017
354,Jitendra Purohit,Male,4/20/2000,23,6.98,Deshbandhu College,Mumbai University,B.Sc. (Hons.),Marketing Management And Retail Business,60,2021,Kendriya Vidyalaya,CBSE,Science (Non-Medical),64.6,2018,St. George's School,Board of High School and Intermediate Education U.P.,83.6,2016
355,Kritika Bhatnagar,Female,7/20/2000,22,7.13,Sri Aurobindo College,Indira Gandhi National Open University,B.A. (Hons.),Economics,58,2023,Queen'S Convent School,CBSE,Commerce,90.83,2020,Sumermal Jain Public School,CBSE,90.6,2018
356,Tushar Ahluwalia,Male,7/25/2002,25,8.28,Kalinga Institute Of Industrial Technology,Amity University,B.Com.,Electronics And Communication Engineering,75.48,2020,K.R. Managalam World School,CBSE,Commerce,78,2017,K R Mangalam World School,CBSE,89.3,2015
357,Nikhil Bose,Male,3/28/2002,24,7.19,Thapar Institute Of Engineering & Technology,Savitribai Phule Pune University,B.Com.,General,61.8,2020,Sri Chaitanya Institute,ISC,Commerce,66.8,2017,Sri guru Harkrishan Public school,ICSE,72.2,2015
358,Vimal Sodhi,Male,8/28/1999,25,6.85,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,76.2,2021,Lovely Public Senior Secondary School,CBSE,Science (Non-Medical),90.5,2017,Delhi Public School,CBSE,91,2015
359,Fatima Gupta,Female,3/18/1998,24,7.26,Fakir Mohan Autonomous College,Fakir Mohan University,B.Tech,Electronics And Communication Engineering,68.87,2021,Delhi Public School,CBSE,Science (Medical),86.67,2018,Ryan International School,CBSE,95,2016
360,Tanvi Pannu,Female,4/17/2001,23,6.34,Unitedworld School Of Business,University Of Petroleum And Energy Studies,B.Com.,Electronics And Communication Engineering,71.5,2023,Christ Junior College,ISC,Commerce,73.8,2020,La Martiniere Girls' College,ICSE,79.17,2018
361,Sameera Gill,Female,7/16/2000,21,6.68,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,81.4,2023,Delhi Public School,CBSE,Commerce,78.8,2020,"Delhi Public School, Agra",CBSE,77.9,2018
362,Siddharth Kalra,Male,8/18/2000,25,7.6,Punjab Engineering College (Deemed To Be University),Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Mechanical Engineering,82.3,2021,Samrat Public School,CBSE,Science (Non-Medical),78.67,2016,Bal Bharati Public School,CBSE,91.2,2014
363,Vivek Hooda,Male,8/18/1998,26,7.19,Amity School Of Engineering And Technology,Amity University,B.Tech,Computer Science Engineering,67.5,2020,Modern International School,CBSE,Science (Non-Medical),79.33,2015,R.R.K. Senior Secondary School,CBSE,79.8,2013
364,Yash Kulkarni,Male,5/30/1999,24,8,Shaheed Bhagat Singh College (Evening),Indira Gandhi National Open University,B.Tech,Computer Science Engineering,79.84,2022,Kundan Vidya Mandir Sr. Sec. School,CBSE,Science (Non-Medical),80.6,2018,La Martiniere College,CBSE,85.5,2016
365,Sadia Singh,Female,8/25/2001,27,7.53,Asutosh College,Rajasthan University,B.Com.,Financial Accounting And Auditing,63.77,2018,Meerut Public Girls School,West Bengal Council of Higher Secondary Education,Commerce,82.2,2014,"Kendriya Vidyalaya, No. 2",ICSE,85.5,2012
366,Bhavya Kalra,Female,10/22/2000,23,6.68,Amity University,Amity University,B.Com. (Hons.),Finance,82,2022,L B Shastri Smk Javm S S School,CBSE,Commerce,80,2019,Khaitan Public School,CBSE,76,2017
367,Gaurav Menon,Male,10/23/2000,25,6.13,Hmr Institute Of Technology And Management,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Bio-Technology,84.5,2022,The Shri Ram School,Jammu and Kashmir State Board of School Education (JKBOSE),Science (Non-Medical),63.8,2018,"Ryan International School, Kandivali",CBSE,62.7,2016
368,Kunal Gill,Male,2/20/2002,22,6.83,National Post Graduate College,Lucknow University,B.Sc. (Hons.),Hotel Management,81.6,2021,Darbari Lal Dav Model School,CBSE,Commerce,85.6,2018,Mother's Global School,CBSE,79.8,2016
369,Kanika Mishra,Female,8/27/2001,24,7.26,Modi Institute Of Management,University Of Kota,B.Com.,Accounting And Finance,68,2021,Sophia Girls Senior Secondary School,ISC,Commerce,82.2,2018,Shrimanta Shankar Academy,ICSE,85.5,2016
370,Siddhesh Behera,Male,11/29/1999,25,7.22,City College Of Commerce & Business Administration,Calcutta University,B.Com. (Hons.),Accountancy,74.5,2021,Uttarpara Amarendra Vidyapith,ISC,Commerce,77.83,2018,Hindmotor High School,ICSE,85.16,2016
371,Rahul Hanjra,Male,2/19/2002,31,6.82,Ness Wadia College Of Commerce,Panjab University,B.Sc.,Life Science,57.4,2015,St. George'S School,CBSE,Science (Medical),85.8,2010,Lake Montfort School,CBSE,74.1,2008
372,Riya Mishra,Female,7/27/2002,22,7.08,Ims Unison University,Guru Jambheshwar University Of Science And Technology,B.B.A.,Finance,81.7,2022,Kiddy'S Corner Higher Secondary School,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,85.6,2019,Khaitan Public School,CBSE,95,2017
373,Tanvi Rana,Female,3/28/2000,22,8.39,Amity Institute Of Applied Sciences,Maharshi Dayanand Saraswati University,B.Com.,General,85.1,2022,St. Mary'S Higher Secondary School,CBSE,Commerce,95.4,2019,St Patricks Junior College,CBSE,95,2017
374,Sanya Thakur,Female,7/17/2000,21,7.7,Shri Vaishnav Institute Of Management,Kerala University,B.Com.,Accounting And Finance,87,2023,Sophia Girls Senior Secondary School,CBSE,Commerce,72.67,2020,St Mary's Convent Sr Sec School,CBSE,91.2,2018
375,Aradhana Patel,Female,7/30/2001,25,6.08,Delhi College Of Arts And Commerce,Maharishi Dayanand University,B.B.A.,Commerce,71,2021,Dhananjayrao Gadgil Commerce College,CBSE,Science (Non-Medical),68.66,2017,St. Mary's Presentation Convent Senior Secondary School,CBSE,79.9,2015
376,Geeta Chahal,Female,4/17/2001,28,8.22,St .Thomas College,Calcutta University,B.Com. (Hons.),Accounting And Finance,67.56,2018,B.D.M International School,CBSE,Commerce,88,2014,Decent Public School,CBSE,93.1,2011
377,Siddhesh Rana,Male,8/21/2000,24,6.85,Chitkara University,Chitkara University,B.Sc.,Hospitality And Hotel Administeration,72.3,2020,St. George'S School,CBSE,Commerce,65,2017,Darbari Lal D.A.V Model School,CBSE,81.7,2015
378,Anil Kataria,Male,5/30/1999,24,7.73,University Institute Of Engineering,University Of Delhi,B.Com. (Hons.),General,60,2020,Ryan International School,CBSE,Commerce,90.4,2017,Ryan International School,CBSE,91.2,2015
379,Jayant Suri,Male,6/30/1998,24,7.62,Jamia Hamdard,Jamia Hamdard University,B.Sc.,Physics Honers,82.4,2020,Greenway Modern School,CBSE,Science (Medical),81.33,2017,Kalyani University Experimental High School,CBSE,95,2015
380,Ishita Sandhu,Female,4/17/2001,21,8.26,Jeevan Chanan Mahila Mahavidyalaya,Assam Science And Technology University,B.Sc.,Database Management Systems,90.52,2023,"D.C. Montessori Sr. Sec. Smart School, Manimajra",Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,94.4,2020,Dyal Singh Public School,West Bengal Board of Secondary Education,92.16,2018
381,Vivaan Bhatia,Male,2/19/2002,23,7.64,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Finance,73.54,2022,Venkateshwar International School,CBSE,Commerce,88,2019,"Modern Public School, Shalimar Bagh",CBSE,89.3,2017
382,Tejas Guha,Male,5/25/1999,24,7.23,Shri Guru Tegh Bahadur Khalsa College,University Of Delhi,B.Sc.,Botany,68.55,2021,Spring Meadows Public School,CBSE,Science (Medical),91,2018,Sri Vidya Mandir High School,CBSE,79.8,2016
383,Rajat Grewal,Male,8/14/2002,25,6.43,University College Of Commerce And Management Studies,Gujarat Technological University,B.B.A.,Management Accounting,65.8,2021,Delhi Public School,CBSE,Commerce,88.25,2016,Kendriya Vidyalaya,CBSE,93.1,2014
384,Garima Malhotra,Female,10/21/1999,26,8.02,Sri Guru Gobind Singh College Of Commerce,University Of Delhi,B.Com. (Hons.),General,66.59,2019,Sumermal Jain Public School,CBSE,Commerce,92.8,2016,Vishwa Bharati Public School,CBSE,91.2,2014
385,Diya Kataria,Female,7/20/2000,24,8.31,Panjab University Main Campus,Rashtrasant Tukadoji Maharaj Nagpur University,B.Com. (Hons.),General,73.81,2021,Pathania Public School,ISC,Commerce,71.54,2018,La Martiniere Girls' College,ICSE,78.33,2016
386,Deepak Thakur,Male,7/23/2000,24,7.22,H. L. College Of Commerce,Gujarat University,B.Tech,General,80.3,2020,St. Peter'S Junior College Of Science And Commerce,CBSE,Science (Non-Medical),70.2,2016,Bal Bharati Public School,CBSE,82,2014
387,Aradhana Rout,Female,4/15/2002,23,6.87,University Of Petroleum & Energy Studies,University Of Petroleum And Energy Studies,B.Com.,Electronics And Communication Engineering,59.8,2020,Meerut Public Girls School,CBSE,Commerce,72.2,2017,Kulachi Hansraj Model School,CBSE,87.4,2015
388,Jyoti Shetty,Female,8/20/2002,21,8.09,Dyal Singh College,Kurukshetra University,B.B.A.,Marketing,85.6,2023,Lotus Valley International School,CBSE,Commerce,88,2020,Delhi Public School,CBSE,85,2018
389,Ragini Chaudhary,Female,8/27/2001,22,7.9,Ramanujan College,University Of Delhi,B.B.A.,General,82.03,2022,Ahlcon Public School,CBSE,Commerce,93.83,2019,"Lotus Valley International School, Noida",CBSE,95,2017
390,Vaishnavi Ahluwalia,Female,1/13/2003,29,7.1,Amrut Mody School Of Management,Rajasthan University,B.Sc.,Physical Science With Computer Science,80.13,2017,"Birla College Of Arts, Science & Commerce.",ISC,Science,74,2012,Chandra Shekhar Memorial Public Inter College,ICSE,91.67,2010
391,Sameera Kataria,Female,7/14/1998,22,7.92,Shaheed Bhagat Singh College (Evening),University Of Delhi,B.A. (Hons.),Political Science,76.38,2022,D.A.V Public School,CBSE,Science (Non-Medical),88.67,2019,Delhi Public School,CBSE,85.5,2017
392,Lakshay Singh,Male,5/30/1999,25,7.36,Goenka College Of Commerce And Business Administration,Calcutta University,B.E.,Zoology,74.5,2021,Delhi Public School,CBSE,Science (Non-Medical),86,2016,St. Joseph's Convent School,CBSE,83.6,2014
393,Fatima Kataria,Female,2/28/1998,24,7.26,Dr. Ambedkar Institute Of Hotel Management,Fakir Mohan University,B.Tech,General,68.87,2021,Dav Public School,CBSE,Science (Non-Medical),73,2017,Sharda International School,CBSE,95,2015
394,Saket Mishra,Male,7/25/2000,26,7.96,"Bhilai Institute Of Technology, Durg",University Of Petroleum And Energy Studies,B.E.,Hotel Management,63.63,2020,St. Mary'S School,CBSE,Science (Non-Medical),79.33,2016,St Mary's Convent Sr Sec School,CBSE,95.8,2014
395,Bharat Menon,Male,10/18/2001,26,6.38,Jaypee Institute Of Information Technology,University Of Delhi,B.Tech,Finance,73.7,2020,"Ram Bhavan Inter College, Satahawa",CBSE,Science (Non-Medical),63.2,2016,Ursuline Convent Senior Secondary School,CBSE,87.4,2014
396,Tanya Iyer,Female,5/31/2001,22,8.73,Ymca,Jagannath University Bahadurgarh,B.Com.,General,84.05,2022,St. Mary'S Higher Secondary School,CBSE,Commerce,84.2,2019,St. Francis inter college,ICSE,90.66,2017
397,Lakshay Sodhi,Male,8/27/1995,23,7.32,Guru Tegh Bahadur Institute Of Technology,Gauhati University,B.B.A.,General,86.7,2021,Sant Gyaneshwar Model School,CBSE,Commerce,70.4,2017,National Victor Public School,CBSE,91.2,2015
398,Fatima Rastogi,Female,7/29/2002,24,7.08,Jagannath International Management School,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,78.82,2021,Ag Dav Centenary Public School,CBSE,Commerce,87.6,2018,Ashok Memorial Public School,CBSE,87.4,2016
399,Harendra Rastogi,Male,3/17/1994,22,7.45,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,85.1,2023,Summer Fields School,CBSE,Commerce,84.8,2020,"Salwan Public School, Old Rajinder Nagar",CBSE,66.5,2018
400,Meera Sangwan,Female,5/20/2000,25,6.87,Pranveer Singh Institute Of Technology,The Northcap University,Bachelor of Architecture,Biology,87.69,2020,Shanti Gyan Niketan Goyala,CBSE,Humanities with Mathematics,86.67,2016,Air Force Bal Bharati School,CBSE,79.8,2014
401,Devendra Rastogi,Male,4/27/2001,22,8.26,Pannalal Girdharlal Dayanand Anglo Vedic College (Evening),University Of Delhi,B.Com.,General,71.33,2023,Saint Joseph School,CBSE,Commerce,88.4,2020,Rukmini Devi Public School,CBSE,85,2018
402,Charu Gill,Female,4/18/2001,21,8.31,National Institute Of Fashion Technology,Kurukshetra University,B.Com.,General,82.93,2023,South Point School,CBSE,Commerce,93.16,2020,Silver Line Prestige School,CBSE,96.4,2018
403,Ira Bhullar,Female,8/22/2000,22,7.27,Banasthali Vidhyapeeth,Chirst Deemed To Be University,B.B.A.,General,81.1,2023,S. D. Jain Modern School,CBSE,Commerce,76.8,2020,Ryan International School,CBSE,95,2018
404,Parth Singh,Male,8/16/1999,22,6.97,Brihan Maharashtra College Of Commerce,I.K. Gujral Punjab Technical University,B.Tech,Civil Engineering,73.6,2022,St. Vivekanand Sr. Sec. School,CBSE,Science (Non-Medical),81.33,2018,Gulmohur High School,CBSE,85.5,2016
405,Divya Deshpande,Female,5/31/2001,27,7.58,Future Institute Of Engineering And Management,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,73.8,2018,Raiganj Coronation High School,CBSE,Science (Non-Medical),83,2014,Raiganj Girls High School,CBSE,87.5,2012
406,Ira Mahajan,Female,4/17/2001,22,7.13,Shivaji College,University Of Delhi,B.Sc. (Hons.),Physics,72.7,2023,Lord Jesus Public School,CBSE,Science (Non-Medical),93.4,2020,K.R. Mangalam World School,CBSE,94.2,2018
407,Uday Chaudhary,Male,8/24/2002,23,7.3,Arunachal University Of Studies,Rajasthan University,B.E.,Physical Science With Chemistry,89.2,2022,K.R Mangalam World School,CBSE,Science (Non-Medical),73.8,2019,Lord Jesus Public School,ICSE,91.2,2017
408,Ashwin Rastogi,Male,9/28/1999,23,6.9,Lovely Professional University,Guru Gobind Singh Indraprastha University,B.Tech,Electrical And Electronics Engineering,80.5,2023,Bal Bharati Public School,CBSE,Science (Non-Medical),64,2019,St. Pauls School,CBSE,81.33,2017
409,Geeta Talwar,Female,8/18/1998,22,7.55,Iis (Deemed To Be University),Iis University,B.Com. (Hons.),Marketing And Finance,71.96,2022,Maheshwari Public School,CBSE,Commerce,85.6,2019,Pathania Public School,CBSE,93.1,2017
410,Ananya Nair,Female,4/17/2001,23,7.57,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,87.4,2022,Patrachar Vidyalaya,CBSE,Science (Non-Medical),63,2019,Presidium School,CBSE,76,2017
411,Riya Bajwa,Female,9/23/2002,21,7.6,Lady Irwin College,University Of Delhi,B.Sc. (Hons.),General,83.3,2023,St Mary'S Convent School,CBSE,Science (Non-Medical),93.3,2020,Aadharshila Vidyapeeth,CBSE,93.5,2018
412,Abhay Mishra,Male,5/14/2002,23,6.69,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.C.A.,Computer Applications,73.1,2021,Lucknow Public Schools And Colleges,CBSE,Science (Non-Medical),79.33,2018,Vandana International School,CBSE,95,2018
413,Yash Rana,Male,9/30/2000,24,7.75,Scms School Of Engineering & Technology,Visveswaraya Technological University,B.Com. (Hons.),Mechanical Engineering,67.54,2020,G D Goenka Public School,CBSE,Commerce,90.4,2017,Dr Virendra Swarup 21st Century School,CBSE,79.8,2015
414,Sanya Goswami,Female,10/22/2001,24,6.66,Kalindi College,Chaudhary Charan Singh University,B.C.A.,Database Management Systems,68,2022,Scholar Fields Public School,CBSE,Science (Medical),78.8,2018,Gagan Bharti Public School,CBSE,81.7,2016
415,Rajendra Mathur,Male,2/28/1998,26,7.08,Kalinga Institute Of Industrial Technology,Indira Gandhi National Open University,B.Tech,Computer Science Engineering,73.7,2020,St. Mary'S Inter College,CBSE,Science (Non-Medical),77.2,2016,"Apeejay School, Panchsheel Park, Sheikh Sarai",CBSE,87.4,2014
416,Sanya Bajwa,Female,9/30/2000,23,7.6,Jai Hind College,University Of Delhi,B.Voc,Finance And Accounting,84.32,2022,Kishinchand Chellaram College,CBSE,Humanities,89.6,2019,Delhi Public School,CBSE,95,2016
417,Jaya Hooda,Female,5/23/2002,24,7.56,Shivaji College,University Of Delhi,B.Com. (Hons.),General,76.86,2021,Delhi Public School,CBSE,Commerce,89.6,2018,Ryan International School,CBSE,79.8,2016
418,Kunal Mittal,Male,11/17/2001,24,6.13,New Delhi Institute Of Management,Babu Banarasi Das University,B.B.A.,Management,86.5,2021,Delhi Public School,CBSE,Science (Non-Medical),66.2,2018,Seedling Modern Public School,CBSE,81.7,2016
419,Sameera Bedi,Female,9/29/2001,22,7.1,National Post Graduate College,Lucknow University,B.Sc.,Mathematics,74.01,2023,South Point High School,ISC,Science (Non-Medical),92.5,2020,Model School,ICSE,90.2,2018
420,Rohan Bedi,Male,4/30/1999,23,7.32,Tecnia Institute Of Advanced Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,86.7,2021,Kendriya Vidyalaya Masjid Moth,Madhya Pradesh Board of Secondary Education,Commerce,70.4,2018,St. Anthony Senior Secondary School,CBSE,87.4,2016
421,Arvind Mittal,Male,1/21/2000,28,6.86,Dyal Singh Evening College,University Of Delhi,B.Tech,Commerce,73.85,2017,"Ram Bhavan Inter College, Satahawa",CBSE,Science (Non-Medical),80.5,2013,St.Francis Convent School,ICSE,86.33,2011
422,Rajni Ahluwalia,Female,7/25/2000,24,7.08,Jagannath International Management School,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,71.9,2021,St. Joseph'S Academy,CBSE,Commerce,83.5,2018,"AG DAV Centenary Public School, Model Town",CBSE,87.4,2016
423,Kiran Malhotra,Male,3/28/2002,23,6.93,Pannalal Girdharlal Dayanand Anglo Vedic College (Evening),University Of Delhi,B.Com. (Hons.),Commerce,74.76,2021,Bhatnagar International School,CBSE,Commerce,92.4,2018,C.R.P.F Public School,CBSE,92.67,2016
424,Smriti Menon,Female,7/25/2002,23,7.98,Ram Lal Anand College,University Of Delhi,B.Sc. (Hons.),Computer Science Engineering,73,2022,South Point High School,CBSE,Science (Non-Medical),88.6,2019,South Point School,CBSE,95,2017
425,Chandan Kataria,Male,8/28/1999,25,6.81,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.Tech,Information Technology,76.2,2021,Bal Bharati Public School,CBSE,Science (Non-Medical),91.6,2017,"Army Public School, Dhaula Kuan",CBSE,92.67,2015
